Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00147501950493725,0.00585026716726001,-0.0246920187151703,0,0,0,0.343366641532479,0.000840538952459364,-2.53367030319271E-07,-4.50736665130116E-08,0.00166994924359932,3.66626613954449E-07,0.000840483092628045,0,0,0,0,0,0,package://3rps/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3rps/meshes/base_link.STL,,Part1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l1,0.0345,6.93889390390723E-18,-0.0299548821668228,0,0,0,0.0034857920578331,3.79565695887464E-08,1.29867356170825E-22,-3.69749733811203E-22,1.45004556642459E-06,-2.64697796016969E-23,1.47347800243903E-06,0,0,0,0,0,0,package://3rps/meshes/l1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3rps/meshes/l1.STL,,joint2-6,Origin_l1,Axis1,l1,continuous,-0.016725,-0.072844,0.015152,-1.5708,-0.69883,-2.0884,base_link,0,0,-1,,,,,,,,,,,,
e1,0.0458398693820964,2.59863996027176E-06,-0.018796807276071,0,0,0,0.00487433629385641,5.18303688110237E-08,-5.84693991059332E-10,-2.92346995529835E-10,3.91488075562568E-06,6.54844008870915E-13,3.94612977335967E-06,0,0,0,0,0,0,package://3rps/meshes/e1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3rps/meshes/e1.STL,,2joint-17,Origin_e1,Axis2,e1,continuous,0.069,0,-0.016157,0,0,-1.159,l1,0,0,-1,,,,,,,,,,,,
b1,-0.0144458954802205,-2.77555756156289E-17,0,0,0,0,0.00047243106832359,2.12666790996715E-09,-4.29099942761883E-24,7.26367975398127E-24,2.27607764209083E-08,1.65436122510606E-24,2.27607764209083E-08,0,0,0,0,0,0,package://3rps/meshes/b1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3rps/meshes/b1.STL,,ball-3,Origin_b1,Axis_b1,b1,fixed,0.080885,-0.0001008,-0.018849,2.267,0,-3.1416,e1,0,0,0,,,,,,,,,,,,
s1,0.00682295115101317,-0.00315759519083211,-0.00492142509620176,0,0,0,0.000125413134072923,4.82944924242953E-10,7.91514190382975E-26,3.05285199304351E-25,8.16445338204102E-10,0,8.16445338204102E-10,0,0,0,0,0,0,package://3rps/meshes/s1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3rps/meshes/s1.STL,,socket-1,Origin_s1,Axis_s1,s1,fixed,-0.018141,0.0053451,0.0018842,1.8048,-0.21901,2.9545,b1,0,0,0,,,,,,,,,,,,
platform,0.246561359482376,0.137644239301135,0.151371743234073,0,0,0,0.49068535656419,0.00192021855152557,1.44190225086158E-11,4.57007478735227E-15,0.00383225901450391,3.73520044576916E-13,0.00192021855134928,0,0,0,0,0,0,package://3rps/meshes/platform.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3rps/meshes/platform.STL,,top_with_socket2-3,Origin_platform,,platform,fixed,-0.12564,0.05024,0.18269,0,1.5334,-1.5708,s1,0,0,0,,,,,,,,,,,,
s2,0.0068229511510132,-2.77555756156289E-17,4.16333634234434E-17,0,0,0,0.000125413134072923,4.82944924242953E-10,1.8807618955357E-25,2.92971523964052E-25,8.16445338204101E-10,-7.75481824268463E-26,8.16445338204101E-10,0,0,0,0,0,0,package://3rps/meshes/s2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3rps/meshes/s2.STL,,socket-2,Origin_s2,Axis_s2,s2,fixed,0.18411,0.12564,0.25329,-1.5334,0,1.5708,platform,0,0,0,,,,,,,,,,,,
s3,0.00682295115101317,2.77555756156289E-17,5.55111512312578E-17,0,0,0,0.000125413134072923,4.82944924242953E-10,-4.84972692233821E-26,-9.77022299952032E-26,8.164453382041E-10,-2.58493941422821E-26,8.164453382041E-10,0,0,0,0,0,0,package://3rps/meshes/s3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3rps/meshes/s3.STL,,socket-3,Origin_s3,Axis_s3,s3,fixed,0.36601,0.12564,0.15447,-1.5334,0,1.5708,platform,0,0,0,,,,,,,,,,,,
l2,0.0345,-6.93889390390723E-18,-0.00288587942099125,0,0,0,0.0034857920578331,3.7956569588746E-08,1.73527689696511E-22,2.09897080435331E-22,1.45004556642459E-06,-4.96308367531817E-24,1.47347800243904E-06,0,0,0,0,0,0,package://3rps/meshes/l2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3rps/meshes/l2.STL,,joint2-3,Origin_l2,Axis3,l2,continuous,0.096209,0.025933,0.015152,1.5708,-0.69315,0.0060218,base_link,0,0,-1,,,,,,,,,,,,
e2,0.0458398693820964,2.59863996027176E-06,-0.00211282125902864,0,0,0,0.00487433629385641,5.18303688110235E-08,-5.8469399105818E-10,-2.92346995529201E-10,3.91488075562568E-06,6.54844009057857E-13,3.94612977335967E-06,0,0,0,0,0,0,package://3rps/meshes/e2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3rps/meshes/e2.STL,,2joint-16,Origin_e2,Axis4,e2,continuous,0.069,0,0,3.1416,0,1.154,l2,0,0,1,,,,,,,,,,,,
b2,-0.0130825812680573,2.08166817117217E-17,5.55111512312578E-17,0,0,0,0.000472431068323591,2.12666790996716E-09,1.18549764401124E-23,-8.01866381648847E-24,2.27607764209084E-08,-4.13590306276514E-25,2.27607764209084E-08,0,0,0,0,0,0,package://3rps/meshes/b2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3rps/meshes/b2.STL,,ball-2,Origin_b2,Axis_b2,b2,fixed,0.082248,-0.0001008,-0.0021645,1.3638,0,-3.1416,e2,0,0,0,,,,,,,,,,,,
l3,0.0345,0,0.0012238350004849,0,0,0,0.0034857920578331,3.79565695887467E-08,-4.96308367531817E-23,-7.0227634005752E-22,1.45004556642459E-06,1.32348898008484E-22,1.47347800243903E-06,0,0,0,0,0,0,package://3rps/meshes/l3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3rps/meshes/l3.STL,,joint2-7,Origin_l3,Axis5,l3,continuous,-0.046953,0.10309,0.015152,1.5708,-0.68303,2.1004,base_link,0,0,-1,,,,,,,,,,,,
e3,0.0458398693820964,2.59863996024401E-06,0.001225134320465,0,0,0,0.00487433629385641,5.18303688110234E-08,-5.84693991058521E-10,-2.92346995527896E-10,3.91488075562568E-06,6.54844009188552E-13,3.94612977335966E-06,0,0,0,0,0,0,package://3rps/meshes/e3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3rps/meshes/e3.STL,,2joint-15,Origin_e3,Axis6,e3,continuous,0.069,0,0.005,0,0,1.1458,l3,0,0,-1,,,,,,,,,,,,
b3,-0.0180851488386009,-2.77555756156289E-17,2.77555756156289E-17,0,0,0,0.00047243106832359,2.12666790996715E-09,2.86928274979331E-23,-9.12483613222559E-24,2.27607764209083E-08,-8.27180612553028E-25,2.27607764209083E-08,0,0,0,0,0,0,package://3rps/meshes/b3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3rps/meshes/b3.STL,,ball-5,Origin_b3,Axis_b3,b3,fixed,0.077245,-0.0001008,0.0011734,1.0995,0,-3.1416,e3,0,0,0,,,,,,,,,,,,
